Department,Role,Will_Relocate,Trending Perf,Talent_Level,Percent_Remote,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,salary,LinkedIn_Hits,Emp_Identity,Emp_Role,Emp_Position,Emp_Title,Sensor_StepCount,Sensor_Heartbeat(Average/Min),Sensor_Proximity(1-highest/10-lowest),left_Company,EMP_Sat_OnPrem_mean,EMP_Sat_Remote_mean,EMP_Engagement_mean,Emp_Work_Status_mean,Emp_Competitive_mean,Emp_Collaborative_mean
IT,Level 1,0,3,6,0.4,0.56,2,129,3,0,0,low,58,2,1,1,2,1585,75,7,1,3.8,2.4,1.8,4.0,3.0,3.0
Warehouse,Level 2-4,1,3,6,0.8,0.71,4,212,2,0,0,medium,6,2,3,2,3,4117,78,7,0,3.5,4.2,4.2,3.2,2.8,2.4
Human Resources,Senior Manager,0,3,6,0.8,0.86,6,247,4,0,0,medium,7,2,2,1,2,1461,90,7,1,3.5,4.2,1.8,3.2,2.4,2.8
IT,Level 2-4,1,3,6,0.8,0.86,5,251,5,0,0,low,7,1,2,1,2,1924,90,9,1,3.5,4.2,1.8,2.2,3.0,4.0
Warehouse,Level 2-4,1,3,6,0.4,0.5,2,135,3,0,0,medium,54,1,1,2,1,6883,75,9,1,3.8,2.4,1.8,3.2,2.6,2.8
Finance,Level 2-4,1,3,6,0.4,0.38,6,109,2,0,0,medium,63,1,1,1,1,1953,86,7,0,3.8,2.4,4.2,2.0,2.8,2.6
Warehouse,Level 1,1,3,6,0.8,0.97,3,215,2,0,0,low,7,2,2,3,3,4305,79,2,0,3.5,4.6,4.2,2.8,4.0,2.0
IT,Level 1,0,3,6,0.8,0.9,5,210,3,0,0,low,5,3,2,3,2,4560,75,9,0,3.5,4.2,4.2,2.0,2.6,3.2
Finance,Senior Manager,0,3,6,0.4,0.56,4,281,7,0,0,medium,31,2,2,2,1,2648,76,8,0,3.8,2.4,4.2,4.0,2.2,2.6
Operations,Senior Director,0,3,6,0.4,0.58,3,251,3,0,0,medium,42,1,1,1,1,3698,76,6,0,3.8,2.4,4.2,3.2,2.8,3.0
Warehouse,Level 2-4,1,3,6,0.8,0.97,6,137,10,0,0,low,4,3,4,3,3,4490,79,4,0,3.5,4.6,4.2,2.5,3.0,2.6
Human Resources,Senior Manager,1,3,6,0.4,0.46,2,132,3,0,0,low,5,2,1,2,2,1052,74,6,1,3.8,2.4,1.8,1.5,3.0,2.4
Sales,Level 2-4,0,3,6,0.8,0.75,5,165,4,0,0,medium,7,3,4,3,4,5091,76,7,0,3.5,4.2,4.2,4.0,2.8,4.0
Human Resources,Level 1,0,3,6,0.4,0.62,6,135,5,0,0,low,55,1,2,2,1,1078,88,7,1,1.8,4.2,1.8,4.0,1.8,3.4
Finance,Level 2-4,1,3,6,0.8,0.81,4,144,2,0,0,low,2,3,4,2,3,4978,76,4,0,3.5,4.2,4.2,3.5,4.0,3.8
Operations,Level 1,0,3,6,0.8,0.87,4,139,3,0,0,medium,7,2,4,2,3,4550,74,2,0,3.5,4.2,4.2,3.0,3.6,3.4
Finance,Senior Manager,0,3,6,0.8,0.84,4,256,5,0,0,low,5,1,2,2,2,1533,88,6,1,3.5,4.2,1.8,2.8,2.2,2.2
Warehouse,Senior Manager,0,3,6,0.5,0.67,3,249,2,0,0,medium,53,1,2,1,2,2323,75,9,0,1.8,4.2,4.2,3.2,2.0,3.2
Sales,Level 2-4,1,3,6,0.8,0.88,4,266,3,0,0,high,2,3,3,3,2,5298,76,1,0,3.5,4.2,4.2,2.8,2.4,2.6
Warehouse,Senior Director,1,3,6,0.8,0.84,7,296,4,0,0,low,8,1,1,1,2,1686,87,9,1,3.5,4.2,1.8,2.2,2.8,3.2
Human Resources,Manager,1,3,6,0.4,0.52,5,264,4,0,0,medium,10,1,2,1,1,3483,79,7,0,3.8,2.4,4.2,2.2,1.8,2.6
IT,Level 1,1,3,6,0.4,0.49,6,188,3,0,0,medium,63,1,2,2,1,3017,87,6,0,3.8,2.4,4.2,4.0,2.0,2.8
Human Resources,Level 2-4,0,3,6,0.8,0.85,3,186,4,0,0,low,6,3,4,3,2,4403,75,3,0,3.5,4.2,4.2,3.2,3.2,2.6
Human Resources,Level 2-4,1,3,6,0.8,0.97,6,280,4,0,0,low,4,2,1,2,1,1831,88,9,1,3.5,4.6,1.8,4.0,2.2,2.6
Sales,Manager,1,3,6,0.8,0.99,4,267,5,0,0,low,2,2,2,1,1,1876,88,1,1,3.5,4.6,1.8,2.8,2.0,2.4
Operations,Level 2-4,0,3,6,0.8,0.83,4,210,2,0,0,medium,8,3,3,2,3,5942,77,3,0,3.5,4.2,4.2,3.5,2.6,3.2
IT,Level 1,1,3,6,0.4,0.64,2,249,2,0,0,low,1,1,1,1,2,2905,77,8,0,1.8,4.2,4.2,3.0,2.0,3.2
Warehouse,Manager,1,3,6,0.4,0.51,2,146,3,0,0,medium,31,1,1,1,1,8381,60,8,1,3.8,2.4,1.8,2.2,2.2,2.8
IT,Level 1,1,3,6,0.4,0.57,2,139,3,0,0,low,3,2,2,2,2,1788,63,8,1,3.8,2.4,1.8,3.0,2.2,2.6
Sales,Level 2-4,1,3,6,0.4,0.54,2,136,2,0,0,low,10,2,2,2,1,1535,64,9,0,3.8,2.4,4.2,2.8,1.8,2.6
Human Resources,Manager,0,3,6,0.8,0.86,5,262,6,0,0,medium,1,2,2,1,1,1696,88,3,1,3.5,4.2,1.8,1.5,3.8,2.6
Sales,Level 2-4,1,3,6,0.4,0.61,3,251,3,0,0,medium,59,2,2,2,1,3651,78,8,0,3.8,4.2,4.2,2.8,2.6,3.4
Sales,Level 1,0,3,6,0.4,0.6,4,143,2,0,1,medium,3,4,5,2,1,1996,88,7,0,3.8,4.2,4.2,1.5,2.2,2.6
Operations,Manager,1,3,6,0.8,0.77,4,252,2,0,0,medium,6,4,4,4,4,5414,76,3,0,3.5,4.2,4.2,2.8,3.2,2.4
Human Resources,Level 2-4,1,3,6,0.4,0.63,5,151,4,1,0,low,12,1,2,1,2,1145,89,6,0,1.8,4.2,4.2,3.8,2.6,2.2
IT,Level 1,1,3,6,0.8,0.98,5,213,3,0,0,low,9,3,2,2,3,5526,79,3,0,3.5,4.6,4.2,2.0,3.4,3.4
Human Resources,Level 1,0,3,6,0.4,0.55,2,148,3,0,0,low,1,1,1,2,1,1601,65,9,1,3.8,2.4,1.8,1.8,2.6,3.8
Operations,Senior Manager,1,3,6,0.8,0.91,6,262,5,1,0,low,9,1,1,1,2,1369,86,4,1,3.5,4.2,1.8,2.8,2.4,2.6
IT,Level 1,0,3,6,0.4,0.53,3,217,3,0,0,high,60,2,2,1,2,2216,75,9,0,3.8,2.4,4.2,3.8,2.0,3.2
Human Resources,Level 2-4,1,3,6,0.8,0.83,5,261,4,0,0,high,6,4,2,2,3,4852,78,2,0,3.5,4.2,4.2,1.8,2.0,2.8
Human Resources,Level 2-4,0,3,6,0.8,0.99,5,257,5,0,0,medium,6,2,2,2,1,1101,86,4,1,3.5,4.6,1.8,2.2,1.4,2.0
Finance,Senior Manager,0,3,6,0.4,0.39,3,193,3,1,0,low,57,2,2,2,1,3200,85,10,0,3.8,2.4,4.2,2.5,2.8,2.8
Warehouse,Manager,0,3,6,0.8,0.97,6,282,4,0,0,medium,9,2,2,1,2,1385,85,4,1,3.5,4.6,1.8,3.0,3.4,3.0
IT,Senior Director,1,3,6,0.8,0.73,4,257,10,1,0,medium,3,4,4,3,3,5881,76,9,0,3.5,4.2,4.2,2.0,2.8,2.0
Sales,Senior Manager,0,3,6,0.4,0.58,4,258,3,0,0,medium,36,2,2,1,1,2211,76,9,0,3.8,2.4,4.2,2.5,1.8,3.0
Sales,Senior Manager,0,3,6,0.8,0.91,4,219,5,0,0,low,2,1,1,1,2,1260,87,3,1,3.5,4.2,1.8,3.8,2.2,2.4
Finance,Manager,1,3,6,0.8,0.82,4,252,3,0,0,low,1,2,3,2,2,4176,77,1,0,3.5,4.2,4.2,2.2,2.6,2.6
Finance,Senior Manager,0,3,6,0.4,0.55,2,150,3,0,0,low,35,2,2,1,1,1765,66,8,1,3.8,2.4,1.8,2.2,1.6,2.8
Sales,Director,0,3,6,0.5,0.7,5,239,5,0,0,medium,19,2,1,2,1,2988,79,6,0,1.8,4.2,4.2,3.8,2.2,2.8
Warehouse,Level 2-4,1,3,6,0.8,0.75,4,191,3,0,0,medium,1,4,2,2,2,4219,78,5,0,3.5,4.2,4.2,1.8,3.6,2.8
Warehouse,Manager,1,3,6,0.4,0.58,5,197,4,1,0,low,40,1,2,1,1,3303,87,9,0,3.8,2.4,4.2,2.8,2.4,3.4
Finance,Level 2-4,0,3,6,0.4,0.62,3,222,3,0,0,medium,57,2,2,1,2,2714,79,6,0,1.8,4.2,4.2,3.0,2.8,4.0
Finance,Level 1,1,3,6,0.8,0.89,2,219,4,0,0,low,9,2,4,3,3,4086,77,1,0,3.5,4.2,4.2,4.0,2.6,2.8
Warehouse,Manager,0,3,6,0.4,0.48,2,132,3,0,0,low,38,2,2,2,1,1834,71,8,1,3.8,2.4,1.8,3.2,2.8,3.0
Warehouse,Level 2-4,1,3,6,0.5,0.66,6,164,5,0,0,low,20,1,2,2,1,1555,88,6,0,1.8,4.2,4.2,3.2,3.0,1.6
IT,Senior Manager,1,3,6,0.8,0.8,2,201,2,0,0,high,2,3,4,2,3,5115,78,3,0,3.5,4.2,4.2,3.2,3.2,3.6
Human Resources,Level 2-4,1,3,6,0.8,0.78,5,137,3,1,0,low,5,2,2,3,2,5914,76,6,0,3.5,4.2,4.2,4.2,4.0,1.6
Human Resources,Level 2-4,1,3,6,0.8,1.0,5,234,5,0,0,medium,8,1,2,1,2,1837,90,2,1,3.5,4.6,1.8,2.5,2.4,1.8
Human Resources,Senior Manager,1,3,6,0.4,0.59,3,266,2,0,0,medium,46,2,1,1,2,3594,75,8,0,3.8,2.4,4.2,2.5,1.6,3.2
Warehouse,Level 2-4,1,3,6,0.4,0.52,2,127,3,1,0,low,2,2,2,2,2,1006,66,10,1,3.8,2.4,1.8,3.0,2.6,2.8
IT,Level 1,0,3,6,0.4,0.57,2,128,3,0,0,medium,6,2,2,2,2,7423,72,7,1,3.8,2.4,1.8,2.2,2.2,2.8
Operations,Level 2-4,1,3,6,0.4,0.53,3,218,4,0,0,low,4,2,2,2,1,3377,75,9,0,3.8,2.4,4.2,2.5,2.8,2.4
Sales,Level 2-4,1,3,6,0.8,0.99,3,226,3,0,0,medium,8,4,3,4,4,5000,79,2,0,3.5,4.6,4.2,3.2,2.6,2.8
Finance,Manager,0,3,6,0.8,0.86,4,133,3,0,0,high,8,4,4,2,3,5653,80,9,0,3.5,4.2,4.2,3.2,3.4,1.8
Operations,Level 1,1,3,6,0.8,1.0,4,224,5,0,0,medium,5,2,1,1,2,1184,87,4,1,3.5,4.6,1.8,4.2,3.0,1.4
IT,Manager,1,3,6,0.4,0.59,5,236,3,0,0,high,34,1,2,1,1,3455,79,7,0,3.8,2.4,4.2,2.8,2.8,2.4
IT,Manager,1,3,6,0.8,0.8,5,235,2,0,0,medium,9,2,2,4,3,5549,76,5,0,3.5,4.2,4.2,4.2,2.6,3.2
Warehouse,Level 2-4,1,3,6,0.8,0.85,5,179,5,0,0,low,3,2,3,2,3,4333,77,7,0,3.5,4.2,4.2,4.2,3.4,3.4
Human Resources,Manager,1,3,6,0.8,0.83,5,269,5,1,0,low,8,3,4,3,2,5833,79,9,0,3.5,4.2,4.2,2.0,3.2,2.6
Sales,Level 1,0,3,6,0.5,0.67,3,245,3,0,0,medium,13,2,2,1,2,3775,78,9,0,1.8,4.2,4.2,2.8,2.6,3.0
Operations,Level 2-4,0,3,6,0.8,0.75,6,185,3,0,1,high,8,4,2,5,5,4806,80,4,0,3.5,4.2,4.2,3.2,2.8,2.8
Operations,Senior Manager,0,3,6,0.8,0.9,4,162,3,0,0,low,8,4,4,3,2,5394,70,4,0,3.5,4.2,4.2,4.2,3.6,2.0
Operations,Senior Manager,0,3,6,0.4,0.56,5,188,3,0,0,medium,14,1,1,2,1,2282,90,6,0,3.8,2.4,4.2,1.8,2.4,3.2
IT,Level 2-4,1,3,6,0.8,0.81,2,182,3,0,0,high,6,3,3,3,3,4112,72,6,0,3.5,4.2,4.2,1.8,3.8,3.0
Operations,Manager,1,3,6,0.8,0.75,3,120,4,0,0,high,10,4,4,3,2,5537,70,4,0,3.5,4.2,4.2,3.5,3.0,2.2
Finance,Level 1,1,3,6,0.4,0.39,5,198,5,0,0,medium,8,1,2,1,1,2166,88,8,0,3.8,2.4,4.2,2.8,1.6,2.0
Finance,Level 2-4,0,3,6,0.8,0.89,6,246,4,0,0,low,4,2,2,2,2,1555,90,3,1,3.5,4.2,1.8,2.8,2.2,2.8
Sales,Level 2-4,1,3,6,0.8,0.95,3,253,3,0,0,medium,4,3,3,2,3,4269,79,4,0,3.5,4.2,4.2,4.0,3.6,2.0
IT,Manager,1,3,6,0.8,0.76,3,257,2,1,0,medium,1,2,3,4,3,4132,80,6,0,3.5,4.2,4.2,2.2,2.6,4.2
Sales,Level 2-4,1,3,6,0.8,0.72,4,273,3,0,0,low,5,2,2,3,3,5323,79,1,0,3.5,4.2,4.2,2.5,3.2,2.4
Warehouse,Level 2-4,0,3,6,0.8,0.83,3,133,3,0,0,low,5,4,4,2,2,5937,72,2,0,3.5,4.2,4.2,4.2,3.0,2.8
Sales,Level 1,0,3,6,0.4,0.43,5,269,3,0,0,medium,52,2,1,2,1,3416,78,8,0,3.8,2.4,4.2,2.8,3.0,2.8
Sales,Level 2-4,0,3,6,0.8,0.91,5,236,5,0,0,medium,3,1,1,2,2,1699,89,4,1,3.5,4.2,1.8,2.8,2.8,4.0
Finance,Level 1,0,3,6,0.5,0.68,2,282,5,0,0,low,51,2,1,2,2,1362,87,9,1,1.8,4.2,1.8,3.0,2.0,2.8
Operations,Level 1,1,3,6,0.4,0.52,3,162,3,0,0,medium,36,2,1,1,1,1649,72,6,0,3.8,2.4,4.2,3.8,3.2,4.0
Warehouse,Level 2-4,0,3,6,0.4,0.56,2,148,3,0,0,low,23,1,1,2,1,1511,74,9,1,3.8,2.4,1.8,2.8,2.6,3.0
Operations,Manager,1,3,6,0.4,0.55,2,136,3,0,0,low,12,2,1,1,2,1202,60,7,1,3.8,2.4,1.8,3.5,2.2,2.6
IT,Level 2-4,1,3,6,0.8,0.74,4,202,3,0,0,low,4,4,2,3,3,4029,75,4,0,3.5,4.2,4.2,2.0,2.8,3.4
Human Resources,Level 2-4,0,3,6,0.8,0.99,3,201,3,0,0,medium,8,4,2,2,2,4315,75,2,0,3.5,4.6,4.2,2.8,2.2,2.0
Sales,Level 2-4,1,3,6,0.8,0.99,4,276,5,0,0,low,2,1,1,2,2,1246,86,3,1,3.5,4.6,1.8,3.0,1.6,3.0
Human Resources,Level 1,1,3,6,0.4,0.5,2,135,3,0,0,low,49,2,1,2,1,1091,72,9,1,3.8,2.4,1.8,1.2,2.6,2.8
Finance,Senior Director,1,3,6,0.4,0.54,2,143,3,0,0,low,11,2,1,2,1,1426,66,6,1,3.8,2.4,1.8,3.2,2.0,3.2
Finance,Manager,1,3,6,0.5,0.7,3,214,2,0,0,medium,4,1,1,1,1,3754,76,8,0,1.8,4.2,4.2,3.2,2.4,2.4
Human Resources,Level 2-4,1,3,6,0.4,0.45,2,127,3,0,0,low,46,1,2,1,1,1542,70,6,1,3.8,2.4,1.8,4.0,2.0,2.6
Warehouse,Level 2-4,0,3,6,0.8,0.76,4,229,3,1,0,low,3,3,4,3,2,5027,75,1,0,3.5,4.2,4.2,3.0,3.8,4.0
Warehouse,Level 1,0,3,6,0.4,0.45,2,132,3,0,0,low,21,1,2,2,1,1798,73,10,1,3.8,2.4,1.8,2.8,2.0,3.4
Human Resources,Level 1,0,3,6,0.4,0.54,5,203,2,0,0,medium,19,1,1,1,2,3603,78,9,0,3.8,2.4,4.2,4.2,2.6,2.2
Operations,Level 2-4,1,3,6,0.4,0.54,2,135,3,0,0,medium,8,1,2,2,1,8367,70,9,1,3.8,2.4,1.8,3.8,3.0,2.0
Sales,Level 1,1,3,6,0.8,0.75,4,266,3,0,0,medium,5,2,3,3,2,4641,79,4,0,3.5,4.2,4.2,3.0,3.0,2.8
Sales,Level 2-4,1,3,6,0.4,0.56,2,143,3,0,0,low,8,1,2,2,2,1979,69,8,1,3.8,2.4,1.8,3.5,2.2,2.2
Human Resources,Manager,1,3,6,0.5,0.67,5,209,4,0,0,medium,15,2,1,2,1,3330,76,9,0,1.8,4.2,4.2,2.2,2.2,2.4
Warehouse,Level 2-4,1,3,6,0.5,0.65,3,153,2,0,0,medium,37,2,2,2,2,1740,75,7,0,1.8,4.2,4.2,4.5,2.0,2.4
IT,Manager,0,3,6,0.8,0.81,6,290,4,0,0,medium,6,2,1,2,2,1505,86,7,1,3.5,4.2,1.8,2.8,3.0,2.8
Operations,Senior Manager,1,3,6,0.4,0.41,2,198,4,0,0,medium,40,2,2,2,1,2276,88,6,0,3.8,2.4,4.2,2.5,2.6,2.8
Sales,Level 1,0,3,6,0.8,0.89,3,253,3,0,0,high,8,4,2,2,3,5030,79,8,0,3.5,4.2,4.2,2.8,2.0,2.8
Sales,Director,0,3,6,0.4,0.48,2,141,3,1,0,low,16,2,2,1,1,1367,74,6,1,3.8,2.4,1.8,1.8,1.4,2.2
Operations,Level 1,1,3,6,0.4,0.45,2,151,3,0,0,low,36,1,1,2,2,1118,62,8,1,3.8,2.4,1.8,2.5,2.6,1.8
Human Resources,Level 2-4,0,3,6,0.4,0.57,2,133,3,0,0,low,62,1,1,1,2,1596,73,8,1,3.8,2.4,1.8,3.0,2.8,2.8
Warehouse,Manager,1,3,6,0.4,0.54,2,135,3,0,0,medium,60,2,2,1,1,6249,68,10,1,3.8,2.4,1.8,3.2,2.8,2.6
IT,Manager,0,3,6,0.4,0.51,4,174,2,0,0,medium,3,1,2,2,1,1395,87,9,0,3.8,2.4,4.2,3.2,1.4,3.0
Warehouse,Level 2-4,1,3,6,0.5,0.66,3,164,2,0,0,low,2,2,1,1,2,1304,64,10,0,1.8,4.2,4.2,2.0,2.2,3.0
Finance,Level 2-4,0,3,6,0.4,0.59,5,143,2,1,0,high,18,1,2,1,1,1066,86,6,0,3.8,2.4,4.2,4.0,1.8,3.6
Operations,Level 1,1,3,6,0.4,0.47,2,128,3,0,0,medium,39,2,2,1,2,7738,66,7,1,3.8,2.4,1.8,3.0,2.4,2.8
Warehouse,Level 2-4,1,3,6,0.4,0.37,5,156,4,0,0,medium,41,1,2,1,1,1975,90,8,0,3.8,2.4,4.2,2.8,2.8,2.8
IT,Level 2-4,0,3,6,0.8,0.95,5,192,7,0,0,medium,10,2,2,2,4,5976,79,4,0,3.5,4.2,4.2,3.0,3.4,2.0
Operations,Level 1,0,3,6,0.4,0.55,2,156,3,0,0,medium,11,2,1,2,2,7238,60,8,1,3.8,2.4,1.8,3.8,1.4,2.8
IT,Level 1,0,3,6,0.8,0.96,5,221,5,0,0,low,8,2,2,1,1,1927,85,9,1,3.5,4.2,1.8,3.2,3.2,2.6
Human Resources,Level 2-4,0,3,6,0.4,0.55,2,173,3,0,0,medium,37,1,1,2,1,1851,60,6,0,3.8,2.4,4.2,4.8,1.4,3.4
IT,Level 2-4,0,3,6,0.8,0.8,6,285,4,0,0,medium,6,1,2,2,2,1582,89,2,1,3.5,4.2,1.8,2.2,2.6,3.4
Warehouse,Senior Manager,0,3,6,0.8,0.94,3,234,2,1,0,medium,8,4,2,4,4,5241,80,6,0,3.5,4.2,4.2,2.8,3.4,2.8
Operations,Level 2-4,1,3,6,0.4,0.57,2,127,3,0,0,low,44,2,2,2,1,1341,74,10,1,3.8,2.4,1.8,2.5,2.4,3.4
Human Resources,Senior Manager,0,3,6,0.8,0.9,4,214,3,0,0,medium,1,2,4,3,3,4717,80,2,0,3.5,4.2,4.2,3.0,3.6,3.0
IT,Level 1,1,3,6,0.8,0.72,2,172,5,0,0,low,4,2,4,2,2,4668,72,2,0,3.5,4.2,4.2,3.8,3.8,2.4
Operations,Level 1,1,3,6,0.4,0.55,3,108,2,1,0,medium,6,2,1,2,1,1306,62,10,0,3.8,2.4,4.2,3.2,3.2,3.2
Sales,Level 1,1,3,6,0.8,0.99,5,244,3,0,0,medium,7,3,2,2,4,4078,77,7,0,3.5,4.6,4.2,2.8,3.2,3.0
Human Resources,Level 2-4,0,3,6,0.4,0.61,4,171,3,0,0,low,58,2,1,1,2,1516,87,10,0,1.8,4.2,4.2,3.0,4.2,3.0
Human Resources,Level 1,0,3,6,0.4,0.57,4,216,3,0,0,high,26,2,1,2,1,2053,80,6,0,3.8,2.4,4.2,2.8,1.2,3.2
Warehouse,Level 2-4,0,3,6,0.4,0.56,2,133,3,0,0,low,10,2,1,1,1,1310,72,9,1,3.8,2.4,1.8,2.2,2.2,3.2
Human Resources,Level 2-4,1,3,6,0.4,0.61,4,141,2,1,0,medium,52,2,1,2,2,1012,89,9,0,3.8,4.2,4.2,3.2,3.2,3.2
IT,Level 2-4,1,3,6,0.4,0.52,2,137,3,0,0,medium,58,1,1,1,2,6547,73,7,1,3.8,2.4,1.8,3.2,2.8,2.6
IT,Level 2-4,0,3,6,0.4,0.42,3,110,2,0,0,medium,28,1,1,1,1,1250,66,9,0,3.8,2.4,4.2,3.5,1.6,3.8
Finance,Director,0,3,6,0.4,0.54,3,265,3,1,0,medium,34,2,2,2,2,3130,78,10,0,3.8,2.4,4.2,2.0,2.2,2.4
IT,Level 1,0,3,6,0.5,0.67,3,254,2,1,0,medium,2,1,2,1,2,3239,76,6,0,1.8,4.2,4.2,2.0,2.2,1.6
Warehouse,Manager,0,3,6,0.8,0.85,5,244,6,0,0,low,7,1,2,1,1,1315,88,4,1,3.5,4.2,1.8,3.0,2.0,3.0
IT,Manager,0,3,6,0.8,0.79,4,184,3,0,0,low,8,2,4,2,3,4667,75,3,0,3.5,4.2,4.2,3.0,2.6,3.2
Sales,Level 2-4,0,3,6,0.4,0.5,2,141,3,0,0,medium,36,2,1,2,2,6609,60,8,1,3.8,2.4,1.8,4.0,2.0,1.8
IT,Manager,0,3,6,0.4,0.56,2,134,3,0,0,low,1,2,2,2,1,1834,64,8,1,3.8,2.4,1.8,3.5,2.8,2.2
Operations,Level 2-4,1,3,6,0.8,0.94,5,151,3,0,0,medium,2,2,2,3,2,4172,75,6,0,3.5,4.2,4.2,2.0,3.2,2.2
IT,Level 2-4,0,3,6,0.8,0.9,3,230,3,0,0,medium,2,2,4,3,2,4742,79,6,0,3.5,4.2,4.2,2.2,2.2,2.6
Warehouse,Level 2-4,1,3,6,0.8,0.93,4,231,5,0,0,medium,8,2,1,1,2,1562,88,4,1,3.5,4.2,1.8,2.2,2.8,2.6
Warehouse,Level 1,0,3,6,0.8,0.77,5,249,2,0,0,low,9,2,2,3,3,4568,77,2,0,3.5,4.2,4.2,3.5,4.0,3.2
Operations,Manager,1,3,6,0.5,0.68,3,151,3,1,0,low,3,1,1,1,1,1273,64,10,0,1.8,4.2,4.2,2.8,3.0,2.6
IT,Level 1,0,3,6,0.8,0.8,4,253,2,0,0,low,8,4,3,3,3,5652,75,2,0,3.5,4.2,4.2,4.0,3.8,2.8
Human Resources,Level 1,0,3,6,0.4,0.61,6,237,5,0,0,high,63,1,2,1,2,2573,80,8,0,3.8,4.2,4.2,3.0,2.0,3.8
Finance,Manager,0,3,6,0.4,0.58,4,180,2,0,0,low,23,2,2,2,1,1193,90,6,0,3.8,2.4,4.2,2.5,2.8,3.8
IT,Level 2-4,0,3,6,0.8,0.79,3,189,3,0,0,medium,2,4,3,4,3,4718,72,5,0,3.5,4.2,4.2,2.5,2.8,2.4
Sales,Level 1,0,3,6,0.4,0.56,2,104,3,1,0,medium,9,1,2,2,2,1721,70,7,0,3.8,2.4,4.2,2.0,2.2,2.8
Human Resources,Level 2-4,0,3,6,0.5,0.7,3,238,2,0,0,low,19,2,1,2,2,2196,80,6,0,1.8,4.2,4.2,2.2,3.2,2.6
Warehouse,Level 1,1,3,6,0.8,0.97,3,133,3,0,0,medium,10,3,2,2,4,5803,78,4,0,3.5,4.6,4.2,3.2,2.8,2.0
Operations,Senior Manager,1,3,6,0.4,0.61,5,196,3,0,0,medium,44,2,1,2,1,2085,86,6,0,3.8,4.2,4.2,2.2,3.6,2.6
Human Resources,Level 2-4,0,3,6,0.4,0.54,4,153,3,0,0,medium,3,2,1,1,1,1716,88,7,0,3.8,2.4,4.2,4.0,2.6,2.8
Warehouse,Senior Manager,0,3,6,0.8,0.95,3,145,2,0,0,low,3,3,2,2,2,4409,78,1,0,3.5,4.2,4.2,1.8,3.2,2.6
IT,Level 1,0,3,6,0.8,0.99,3,198,2,0,0,medium,8,2,3,2,2,5889,75,4,0,3.5,4.6,4.2,2.2,2.2,2.2
Human Resources,Senior Manager,1,3,6,0.8,0.75,6,139,5,1,0,medium,1,4,3,4,3,4243,73,5,0,3.5,4.2,4.2,3.0,2.4,2.4
Sales,Level 2-4,1,3,6,0.5,0.66,3,186,3,0,0,medium,49,1,2,2,2,2356,88,10,0,1.8,4.2,4.2,3.2,2.4,2.8
Finance,Level 1,0,3,6,0.4,0.63,3,148,4,0,0,medium,38,1,1,2,2,1322,70,7,0,1.8,4.2,4.2,2.5,2.6,2.6
IT,Level 2-4,1,3,6,0.4,0.5,2,156,3,0,0,medium,16,1,1,1,1,6113,74,9,1,3.8,2.4,1.8,3.8,2.6,2.8
Human Resources,Level 2-4,0,3,6,0.8,0.99,3,228,2,0,0,medium,2,2,4,2,4,5640,79,2,0,3.5,4.6,4.2,2.8,3.4,1.8
Finance,Level 2-4,0,3,6,0.8,0.9,4,226,2,0,0,low,1,3,3,2,2,4532,80,2,0,3.5,4.2,4.2,3.5,3.8,2.4
Warehouse,Level 2-4,1,3,6,0.4,0.61,4,140,2,0,0,low,47,1,1,1,1,1831,88,7,0,3.8,4.2,4.2,4.5,1.8,3.0
Warehouse,Level 2-4,0,3,6,0.8,0.87,4,209,2,0,0,medium,3,4,2,4,2,4407,76,2,0,3.5,4.2,4.2,3.5,3.2,4.4
Warehouse,Manager,0,3,6,0.4,0.52,2,153,3,0,0,low,57,2,1,1,1,1509,75,10,1,3.8,2.4,1.8,2.2,3.2,2.4
Operations,Level 2-4,1,3,6,0.4,0.62,5,133,3,0,0,medium,21,2,2,1,2,1648,87,8,0,1.8,4.2,4.2,2.2,2.6,2.0
Operations,Level 1,1,3,6,0.4,0.5,2,145,3,0,0,medium,61,2,1,1,2,6808,73,9,1,3.8,2.4,1.8,3.2,2.4,3.4
Warehouse,Manager,0,3,6,0.8,0.83,3,201,3,0,0,high,7,2,3,2,2,4887,78,8,0,3.5,4.2,4.2,2.8,3.0,2.2
Finance,Level 1,0,3,6,0.4,0.61,4,246,2,0,0,low,11,2,1,2,1,2282,80,10,0,1.8,4.2,4.2,3.5,2.4,2.2
IT,Manager,1,3,6,0.8,0.72,4,168,4,0,0,medium,4,4,4,2,3,4776,78,6,0,3.5,4.2,4.2,3.0,2.0,2.8
Human Resources,Level 1,0,3,6,0.8,0.72,6,224,4,0,0,medium,6,2,2,3,4,4616,77,4,0,3.5,4.2,4.2,3.8,2.4,3.8
Sales,Senior Manager,1,3,6,0.4,0.5,5,131,3,0,0,low,61,2,2,1,2,1944,89,8,0,3.8,2.4,4.2,3.8,2.6,1.8
IT,Level 2-4,0,3,6,0.4,0.48,4,139,5,0,0,medium,44,1,2,2,1,1145,85,10,0,3.8,2.4,4.2,3.8,2.0,2.8
Operations,Level 2-4,0,3,6,0.4,0.51,3,247,2,0,0,medium,1,2,2,2,1,2323,80,9,0,3.8,2.4,4.2,2.2,2.0,3.0
